User Name,Source,Title,Author,Keywords,Published Date,Heading,Subheading,ISBN,Amazon URL
dcancel,https://www.drift.com/dc/,50 books to read this year,David Cancel,,,,,,
,,,,,,The Must-Read Books On Leadership,,,
,,,,,,,,0735211299,
,,,,,,,,0735213321,
,,,,,,,,1591848016,
,,,,,,,,073521171X,
,,,,,,,,0525540423,
,,,,,,,,0008323445,
,,,,,,,,0062839268,
,,,,,,,,0062871331,
,,,,,,,,0062699172,
,,,,,,,,9780241250945,
,,,,,,,,1732265186,
,,,,,,,,9780060523800,
,,,,,,The Must-Read Books On Business,,,
,,,,,,,,0738204315,
,,,,,,,,1999023005,
,,,,,,,,1732265194,
,,,,,,,,9780349418001,
,,,,,,,,0195573560,
,,,,,,,,0525431993,
,,,,,,The Must-Read Books On Empowerment,,,
,,,,,,,,154167541X,
,,,,,,,,1847942253,
,,,,,,,,0062662953,
,,,,,,,,0062473476,
,,,,,,,,9780300188059,
,,,,,,,,1936891026,
,,,,,,The Must-Read Books On Personal Development,,,
,,,,,,,,0735216371,
,,,,,,,,0805078045,
,,,,,,,,1938298071,
,,,,,,,,9780804136662,
,,,,,,,,0374533555,
,,,,,,,,1847941494,
,,,,,,,,0735224153,
,,,,,,,,0578419866,
,,,,,,,,1501143336,
,,,,,,,,081298160X,
,,,,,,,,0593084195,
,,,,,,,,0525538585,
,,,,,,,,024133635X,
,,,,,,,,1844131467,
,,,,,,,,006124189X,
,,,,,,,,1509843507,
,,,,,,The Must-Read Books For Fantastic Storytelling,,,
,,,,,,,,0316478520,
,,,,,,,,0262536161,
,,,,,,,,9780525589983,
,,,,,,,,9780062316110,
,,,,,,,,1524759791,
,,,,,,,,0593170989,
,,,,,,,,198489224X,
,,,,,,,,1501181009,
,,,,,,,,9389143519,
,,,,,,,,9780804141109,
